lead_id,created_at,first_name,last_name,email,phone,country,source,campaign,funnel_type,landing_page,utm_source,utm_medium,utm_campaign,assigned_setter,assigned_closer,current_stage,lead_score,contacted_at,first_response_at,booking_id,sale_id
lead_4655bfb1c2f9,2026-01-13T10:22:56,Steven,Ramos,williamleon@example.net,414 895 1343,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Taylor Brooks,Morgan Reed,New Lead,67,2026-01-13T11:53:56,2026-01-13T10:41:56,,
lead_4881d737c39d,2026-01-14T18:51:06,Dylan,Williams,xcarr@example.org,369-367-6320 x163,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Morgan Reed,New Lead,71,2026-01-14T21:37:06,2026-01-14T20:06:06,,
lead_60c2a00ffff7,2026-04-10T20:08:28,Linda,Dominguez,pwilliams@example.org,327-889-5798 x687,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Jordan Lee,Morgan Reed,New Lead,62,2026-04-10T21:13:28,2026-04-10T20:24:28,,
lead_5fee7fd2ca9b,2026-02-17T04:26:57,Julia,Wells,karen48@example.com,(247) 143-4558,Mexico,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Morgan Reed,New Lead,73,2026-02-17T06:32:57,2026-02-17T05:09:57,,
lead_0709c812aad8,2026-03-10T19:08:46,Devon,Hall,jasminebrown@example.com,1 (787) 603-6690,Canada,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Taylor Brooks,Morgan Reed,New Lead,54,2026-03-10T21:01:46,2026-03-10T19:30:46,,
lead_64394f183cd8,2026-01-12T18:28:31,Thomas,Bender,karen68@example.net,(893) 734-6706 x562,United States,Referral,Partner Referral,Referral,/partner-referral,referral,organic,partner_referral,Alex Morgan,Morgan Reed,New Lead,48,2026-01-12T20:16:31,2026-01-12T18:41:31,,
lead_bbe9863a2812,2026-03-29T02:41:26,Samantha,Hooper,meadowsbrittany@example.net,416-272-0465,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Jordan Lee,Casey Bennett,New Lead,78,2026-03-29T03:21:26,2026-03-29T03:44:26,,
lead_ef49340515c8,2026-03-28T01:08:20,Shawn,Rogers,aramirez@example.com,470.805.3100,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Taylor Brooks,Riley Carter,New Lead,73,2026-03-28T03:33:20,2026-03-28T01:39:20,,
lead_cfc55e030d38,2026-06-29T21:10:58,James,Smith,johnwells@example.org,(274) 529-9124,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Jordan Lee,Casey Bennett,New Lead,57,2026-06-29T22:15:58,2026-06-29T21:54:58,,
lead_40a0d7c19f44,2026-06-25T05:41:18,Beth,Hickman,tsanders@example.org,993.149.1905,Canada,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Alex Morgan,Casey Bennett,New Lead,82,2026-06-25T06:01:18,2026-06-25T06:25:18,,
lead_4688cc6f4ff1,2026-02-25T09:21:27,Ross,Wood,alexander67@example.org,+1 (857) 262-8498,United States,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Taylor Brooks,Riley Carter,New Lead,82,2026-02-25T11:14:27,2026-02-25T09:53:27,,
lead_f4dfe9c7f8a3,2026-01-31T01:24:19,Steven,Petersen,marcus31@example.com,637-996-5075 x273,Canada,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Alex Morgan,Riley Carter,New Lead,81,2026-01-31T02:17:19,2026-01-31T01:28:19,,
lead_be182239d206,2026-05-26T05:49:07,Lauren,Peterson,angela83@example.org,(567) 837-7701,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Taylor Brooks,Casey Bennett,New Lead,62,2026-05-26T07:14:07,2026-05-26T06:24:07,,
lead_d1c3844a8c33,2026-01-12T01:04:40,Jeffrey,Holt,elizabeth57@example.net,(656) 855-7444 x313,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Morgan Reed,New Lead,25,2026-01-12T03:19:40,2026-01-12T01:39:40,,
lead_f41e3552d5f1,2026-03-20T09:43:49,David,Herrera,jamesrodgers@example.com,(594) 134-3524 x082,Mexico,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Taylor Brooks,Morgan Reed,New Lead,63,2026-03-20T10:18:49,2026-03-20T10:10:49,,
lead_442fc1fd7aa5,2026-05-01T06:31:37,Brandon,Brown,heidi27@example.org,894-777-5204,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Taylor Brooks,Riley Carter,New Lead,48,2026-05-01T06:56:37,2026-05-01T08:19:37,,
lead_37f5db9b604a,2026-02-09T15:55:00,Danny,Jones,ojones@example.net,422-941-3186,United States,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Casey Bennett,New Lead,49,2026-02-09T18:51:00,2026-02-09T16:12:00,,
lead_28130e9520a9,2026-03-30T18:49:15,Kimberly,James,levans@example.com,1-399-091-3341,Mexico,Google Ads,Real Estate Mentorship,Evergreen,/real-estate-mentorship,google_ads,cpc,real_estate_mentorship,Alex Morgan,Morgan Reed,New Lead,62,2026-03-30T20:14:15,2026-03-30T19:57:15,,
lead_51d25d270c82,2026-01-15T05:25:10,John,Arnold,aaronhayes@example.net,240-344-7134 x936,Canada,Google Ads,High Intent Search,Evergreen,/high-intent-search,google_ads,cpc,high_intent_search,Jordan Lee,Morgan Reed,New Lead,65,2026-01-15T07:47:10,2026-01-15T05:46:10,,
lead_543ccdc23a0e,2026-06-20T17:41:46,Amy,Holland,margaret10@example.org,1-999-471-7464,Canada,Email Campaign,Database Reactivation,Evergreen,/database-reactivation,email_campaign,organic,database_reactivation,Alex Morgan,Casey Bennett,New Lead,73,2026-06-20T18:48:46,2026-06-20T18:16:46,,
lead_172c7310a25b,2026-04-29T18:37:29,Amber,Kim,prestonjessica@example.net,1-301-399-0490,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Taylor Brooks,Riley Carter,New Lead,62,2026-04-29T21:29:29,2026-04-29T18:55:29,,
lead_2c7ef5fa3f59,2026-01-21T02:44:53,Thomas,Pearson,howard96@example.net,717-565-5125 x674,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Alex Morgan,Riley Carter,New Lead,34,2026-01-21T03:23:53,2026-01-21T03:08:53,,
lead_76926c8a996c,2026-02-24T17:04:45,Lisa,Pierce,qmiller@example.com,668.087.6038,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Jordan Lee,Morgan Reed,New Lead,61,2026-02-24T19:43:45,2026-02-24T17:45:45,,
lead_e1ac02ce90ef,2026-04-09T03:22:36,Cindy,Jimenez,nwolf@example.com,(924) 771-0932 x480,Canada,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Alex Morgan,Morgan Reed,New Lead,63,2026-04-09T05:32:36,2026-04-09T03:55:36,,
lead_273e24f23643,2026-01-09T13:27:33,Ricky,Walker,murraydavid@example.org,948-467-7378 x263,Canada,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Alex Morgan,Riley Carter,New Lead,61,2026-01-09T13:32:33,2026-01-09T13:37:33,,
lead_993b01ade910,2026-05-24T22:23:11,Julie,Taylor,hillkristy@example.com,1 (884) 044-9972,Canada,Direct,Direct Traffic,Evergreen,/direct-traffic,direct,organic,direct_traffic,Jordan Lee,Riley Carter,New Lead,44,2026-05-25T00:21:11,2026-05-24T22:48:11,,
lead_fe29ae9f85a9,2026-06-21T11:34:26,Amanda,Reed,ugibson@example.org,(396) 360-5766,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Jordan Lee,Riley Carter,New Lead,64,2026-06-21T12:17:26,2026-06-21T12:03:26,,
lead_486c4ba74569,2026-01-25T17:56:21,Tyler,Johnson,molly71@example.net,902-621-7459 x615,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Casey Bennett,New Lead,58,2026-01-25T18:11:21,2026-01-25T20:25:21,,
lead_b8e0c01b90a3,2026-05-10T12:08:05,Norman,Stewart,cbrennan@example.net,534.316.1172,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Taylor Brooks,Casey Bennett,New Lead,56,2026-05-10T12:39:05,2026-05-10T12:48:05,,
lead_3c36312d5e7a,2026-06-29T18:22:19,Rebecca,Williams,carternicholas@example.org,(486) 922-2196,Mexico,Direct,Direct Traffic,Evergreen,/direct-traffic,direct,organic,direct_traffic,Alex Morgan,Casey Bennett,New Lead,57,2026-06-29T19:27:19,2026-06-29T18:29:19,,
lead_e423198cf404,2026-06-29T12:25:23,Tyler,Aguilar,stevenking@example.com,774-821-7594,United States,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Jordan Lee,Riley Carter,New Lead,96,2026-06-29T13:55:23,2026-06-29T12:59:23,,
lead_01517203b50e,2026-02-21T19:24:17,Hannah,Bryant,james67@example.org,(169) 594-4064,United States,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Alex Morgan,Casey Bennett,New Lead,72,2026-02-21T20:09:17,2026-02-21T19:52:17,,
lead_2cb0206d375f,2026-02-13T04:36:58,Ashlee,Jennings,lozanojulie@example.com,(595) 339-4210,Mexico,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Jordan Lee,Casey Bennett,New Lead,48,2026-02-13T05:32:58,2026-02-13T05:08:58,,
lead_36bd72923c26,2026-02-13T06:53:56,Kristina,Johnson,jessica14@example.com,+1 (523) 285-8842,United States,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Jordan Lee,Casey Bennett,New Lead,68,2026-02-13T07:04:56,2026-02-13T08:15:56,,
lead_99f977c7593e,2026-05-31T03:57:48,Robin,Raymond,julie51@example.com,923.685.1604,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Taylor Brooks,Casey Bennett,New Lead,42,2026-05-31T05:13:48,2026-05-31T04:59:48,,
lead_7c834a6bd0b6,2026-01-06T08:37:40,David,Richardson,brenda51@example.net,(570) 985-9317,Mexico,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Jordan Lee,Morgan Reed,New Lead,44,2026-01-06T09:11:40,2026-01-06T10:18:40,,
lead_e4ee6325da0c,2026-01-08T10:17:29,Debra,Wilson,shahkevin@example.com,313.826.7586,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Jordan Lee,Riley Carter,New Lead,92,2026-01-08T10:49:29,2026-01-08T11:09:29,,
lead_12aac9c98df3,2026-04-28T17:08:16,Nicole,Pena,rgilbert@example.org,1 (137) 735-1585,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Taylor Brooks,Morgan Reed,New Lead,58,2026-04-28T19:23:16,2026-04-28T17:22:16,,
lead_560828363da9,2026-03-26T16:10:31,Raymond,Lopez,rushmadison@example.org,(990) 053-2931,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Taylor Brooks,Riley Carter,New Lead,49,2026-03-26T16:15:31,2026-03-26T16:45:31,,
lead_39ff72812923,2026-03-12T17:23:42,Jamie,Robinson,markhernandez@example.net,142-284-2102,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Taylor Brooks,Casey Bennett,New Lead,68,2026-03-12T19:18:42,2026-03-12T17:32:42,,
lead_c5c3f925d432,2026-05-20T18:17:52,Michael,Kramer,alfred40@example.org,+1 (881) 177-5891,Canada,Referral,Partner Referral,Referral,/partner-referral,referral,organic,partner_referral,Taylor Brooks,Casey Bennett,New Lead,75,2026-05-20T19:38:52,2026-05-20T18:31:52,,
lead_abb20b9f6499,2026-02-27T09:51:11,William,Dougherty,acostaregina@example.net,(647) 007-6617 x711,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Jordan Lee,Riley Carter,New Lead,82,2026-02-27T12:17:11,2026-02-27T10:06:11,,
lead_90549fa764dd,2026-04-30T12:30:26,Charlene,Jones,claudia98@example.net,1 (269) 847-8961,Canada,Email Campaign,Database Reactivation,Evergreen,/database-reactivation,email_campaign,organic,database_reactivation,Taylor Brooks,Morgan Reed,New Lead,52,2026-04-30T15:00:26,2026-04-30T12:47:26,,
lead_a32a01780cc7,2026-03-25T11:25:26,Melissa,Curtis,russellbeasley@example.com,1 (376) 615-6545,United States,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Jordan Lee,Casey Bennett,New Lead,37,2026-03-25T13:58:26,2026-03-25T12:28:26,,
lead_4a3a0bcfc9d4,2026-04-10T06:14:36,Gloria,Wells,deckerchristopher@example.org,1 (628) 098-8516,United States,Google Ads,High Intent Search,Evergreen,/high-intent-search,google_ads,cpc,high_intent_search,Taylor Brooks,Morgan Reed,New Lead,78,2026-04-10T08:20:36,2026-04-10T06:53:36,,
lead_384736c46d70,2026-04-11T02:10:49,Morgan,Pugh,uparrish@example.org,1-494-519-8327,United States,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Jordan Lee,Morgan Reed,New Lead,70,2026-04-11T05:04:49,2026-04-11T02:19:49,,
lead_ea9f6cc4cf18,2026-05-11T15:27:18,Melanie,Bell,danny49@example.org,+1 (589) 980-9402,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Alex Morgan,Morgan Reed,New Lead,79,2026-05-11T16:51:18,2026-05-11T16:07:18,,
lead_43c0be2bdbbc,2026-04-03T06:17:45,Jacqueline,Parker,michael22@example.net,+1 (612) 018-3667,Mexico,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Alex Morgan,Casey Bennett,New Lead,36,2026-04-03T08:58:45,2026-04-03T06:29:45,,
lead_efe5c3e41fbb,2026-05-20T11:44:04,Eric,Collins,kimberly99@example.org,822-901-4767,Canada,Google Ads,High Intent Search,Evergreen,/high-intent-search,google_ads,cpc,high_intent_search,Alex Morgan,Morgan Reed,New Lead,62,2026-05-20T13:27:04,2026-05-20T12:34:04,,
lead_6c334623f325,2026-06-23T08:05:46,Robert,Lewis,reeddaniel@example.net,584-036-9003 x432,United States,Referral,Partner Referral,Referral,/partner-referral,referral,organic,partner_referral,Alex Morgan,Morgan Reed,New Lead,73,2026-06-23T08:37:46,2026-06-23T08:45:46,,
lead_f63c75c9e26a,2026-01-10T18:02:04,Keith,Wilson,lburgess@example.org,+1 (183) 885-1606,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Alex Morgan,Casey Bennett,New Lead,71,2026-01-10T20:29:04,2026-01-10T18:21:04,,
lead_0f587758630d,2026-05-10T15:08:15,Steve,Miller,barbara96@example.net,+1 (241) 605-2975,France,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Taylor Brooks,Casey Bennett,New Lead,46,2026-05-10T17:28:15,2026-05-10T15:49:15,,
lead_2ac0a3433612,2026-04-29T23:10:00,Samuel,Rodriguez,hchapman@example.org,+1 (945) 352-1818,Canada,Email Campaign,Database Reactivation,Evergreen,/database-reactivation,email_campaign,organic,database_reactivation,Taylor Brooks,Casey Bennett,New Lead,63,2026-04-30T01:24:00,2026-04-30T01:37:00,,
lead_e6b2207d238c,2026-03-29T09:28:37,James,Parsons,jessica23@example.org,843 292 1277,United States,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Taylor Brooks,Casey Bennett,New Lead,78,2026-03-29T10:39:37,2026-03-29T09:40:37,,
lead_07bda59625fc,2026-05-02T16:51:33,Erin,Macias,michelle52@example.com,577.449.0581,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Alex Morgan,Riley Carter,New Lead,80,2026-05-02T17:57:33,2026-05-02T17:06:33,,
lead_991fe05fb9f3,2026-03-07T05:09:46,Steven,Johnson,marie11@example.net,(367) 980-7935 x978,Mexico,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Alex Morgan,Morgan Reed,New Lead,43,2026-03-07T06:35:46,2026-03-07T06:32:46,,
lead_cf3a6d8aaa9f,2026-05-15T18:02:25,Susan,Hayes,toni18@example.net,603 778 8925,United States,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Alex Morgan,Casey Bennett,New Lead,63,2026-05-15T18:46:25,2026-05-15T19:13:25,,
lead_c48c7bb1afcc,2026-03-22T17:38:54,Samantha,Hughes,erika05@example.org,1 (318) 644-9251,Canada,Google Ads,Real Estate Mentorship,Evergreen,/real-estate-mentorship,google_ads,cpc,real_estate_mentorship,Jordan Lee,Casey Bennett,New Lead,87,2026-03-22T17:58:54,2026-03-22T18:41:54,,
lead_4c72625ddb5f,2026-06-16T08:39:38,Sabrina,Collins,tanderson@example.org,1-186-528-1685,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Alex Morgan,Casey Bennett,New Lead,55,2026-06-16T11:11:38,2026-06-16T09:06:38,,
lead_d66708f72ced,2026-06-15T17:21:20,Michael,White,matthewmiranda@example.org,(622) 141-8880,Canada,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Taylor Brooks,Riley Carter,New Lead,44,2026-06-15T19:13:20,2026-06-15T17:37:20,,
lead_09863ab479ca,2026-04-05T19:18:51,Nancy,Williamson,lmoore@example.net,470 653 7947,Canada,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Jordan Lee,Morgan Reed,New Lead,73,2026-04-05T20:19:51,2026-04-05T19:49:51,,
lead_ee4d16d92226,2026-05-21T14:55:47,Amanda,Collins,mmckee@example.com,874-688-6239 x240,Mexico,Google Ads,Real Estate Mentorship,Evergreen,/real-estate-mentorship,google_ads,cpc,real_estate_mentorship,Alex Morgan,Riley Carter,New Lead,70,2026-05-21T15:42:47,2026-05-21T15:36:47,,
lead_fdcb24654bc0,2026-04-25T22:25:12,Morgan,Spencer,dawsonzachary@example.org,1-812-478-2613,United States,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Riley Carter,New Lead,80,2026-04-26T00:54:12,2026-04-25T22:58:12,,
lead_c7d6cc77a5fd,2026-02-05T06:55:07,Nicole,Arias,gbrown@example.com,(361) 530-5152,Canada,Google Ads,Real Estate Mentorship,Evergreen,/real-estate-mentorship,google_ads,cpc,real_estate_mentorship,Jordan Lee,Morgan Reed,New Lead,100,2026-02-05T07:12:07,2026-02-05T07:21:07,,
