sale_id,lead_id,booking_id,opportunity_id,closer_name,offer_date,close_date,offer_status,product_name,contract_value,payment_plan,upfront_amount,recurring_amount,expected_installments,discount_amount
sale_f5b7026498ac,lead_f044fb7de6f1,book_64788372538f,opp_92b4ddc01ccc,Riley Carter,2026-02-04T20:45:29,2026-02-17T20:45:29,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_b2a437949a72,lead_7ae4d7522868,book_35b3a16ba6f1,opp_b728a41b476c,Morgan Reed,2026-05-29T02:45:05,2026-06-07T02:45:05,Won,Mentorship Standard,4500,12 Payments,375.0,375.0,12,500
sale_8f934a7ccfae,lead_421eaa9ca592,book_9c4754dda577,opp_2d4ac0c145b5,Riley Carter,2026-06-27T08:37:19,2026-07-06T08:37:19,Won,Mentorship Premium,9000,Paid in Full,9000.0,0.0,1,1000
sale_e1301a80c758,lead_1fb4e22b1b87,book_f70fed02b56a,opp_63d6e874c8e6,Riley Carter,2026-05-04T21:51:09,2026-05-13T21:51:09,Won,Mentorship Premium,9750,Paid in Full,9750.0,0.0,1,250
sale_ef81fa771fd0,lead_f3b781c8cddd,book_9e70904bc006,opp_2d157e38ef36,Riley Carter,2026-03-22T23:43:58,2026-04-04T23:43:58,Won,Digital Course,297,2 Payments,148.5,148.5,2,0
sale_87a9cb73f497,lead_b5e20a90a33e,book_252de7832645,opp_34c6b8a9a261,Morgan Reed,2026-02-12T12:50:36,2026-02-26T12:50:36,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_f206cfadfb83,lead_7aa605a3c755,book_596520ffe8e4,opp_436913de220c,Casey Bennett,2026-04-19T13:29:49,2026-04-20T13:29:49,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_7895751e8d41,lead_7718ae0f0f6c,book_0d797ae0e2e8,opp_f6a8dc7a349f,Casey Bennett,2026-01-11T08:46:14,2026-01-21T08:46:14,Won,Group Program,2250,2 Payments,1125.0,1125.0,2,250
sale_21b4475e406f,lead_d0fa7784f572,book_3c00d6fb6965,opp_8f6ff1ed1520,Morgan Reed,2026-03-24T10:45:35,2026-04-02T10:45:35,Won,Group Program,2500,4 Payments,625.0,625.0,4,0
sale_c6f35592e8da,lead_5217e8cc7b31,book_c1669af092c6,opp_5365ffeaa7ac,Morgan Reed,2026-02-04T12:48:00,2026-02-10T12:48:00,Won,Mentorship Premium,9000,Paid in Full,9000.0,0.0,1,1000
sale_4005d751e659,lead_fef75ac1d8e8,book_55ff085e8538,opp_9e22a011b5e5,Riley Carter,2026-02-10T01:01:58,2026-02-22T01:01:58,Won,Workshop,250,2 Payments,125.0,125.0,2,500
sale_d15fd72d5e4f,lead_0d612dc74b4a,book_c574a72b3f9e,opp_213564c95ef9,Riley Carter,2026-05-29T02:22:30,2026-06-10T02:22:30,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_a826403f8b61,lead_6c707feccbc8,book_ced5a40eb271,opp_eb3e008fb499,Riley Carter,2026-01-07T06:35:24,2026-01-12T06:35:24,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_90ce2fd47b24,lead_6cb117baa30b,book_c284d8e2069e,opp_31e7d18941c8,Riley Carter,2026-03-29T15:45:51,2026-04-06T15:45:51,Won,Mentorship Standard,4000,Paid in Full,4000.0,0.0,1,1000
sale_cd1f418928aa,lead_8ab95f69968f,book_d7720b1e5b37,opp_04af4d828c99,Riley Carter,2026-02-04T21:44:49,2026-02-10T21:44:49,Won,Digital Course,297,Paid in Full,297.0,0.0,1,0
sale_ec47ac0bdf07,lead_b28508e959a1,book_b315fb62e765,opp_5119acb47b46,Riley Carter,2026-03-24T07:37:55,2026-03-25T07:37:55,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_bdd29d522b7f,lead_9094e8344785,book_725c1e065309,opp_badc870db607,Riley Carter,2026-05-23T14:31:48,2026-05-28T14:31:48,Won,Workshop,250,Paid in Full,250.0,0.0,1,500
sale_28a483c509cc,lead_aaaa49352e40,book_4647ba53ed83,opp_932724e8b0e9,Casey Bennett,2026-03-04T18:29:01,2026-03-13T18:29:01,Won,Workshop,750,Paid in Full,750.0,0.0,1,0
sale_a79ba4ba4792,lead_64ca53065ca6,book_800e8cd52742,opp_868b2c674959,Riley Carter,2026-04-18T01:50:09,2026-04-29T01:50:09,Won,Mentorship Premium,9500,4 Payments,2375.0,2375.0,4,500
sale_d95b109705fe,lead_5b27d2ec6cfb,book_6c09e2e1dbe1,opp_34f30e3e60dc,Morgan Reed,2026-03-16T19:39:19,2026-03-19T19:39:19,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_119a6f568815,lead_c427a7b8ce6f,book_82762fbbd7b5,opp_8d47c3e2f66b,Morgan Reed,2026-02-01T06:49:33,2026-02-13T06:49:33,Won,Mentorship Standard,5000,2 Payments,2500.0,2500.0,2,0
sale_e472fd7be309,lead_57f253a32c90,book_2dd5d8fbeac9,opp_5ed78bf47834,Riley Carter,2026-01-20T03:27:15,2026-01-25T03:27:15,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_7fed9f62bfd8,lead_94939b25fcd3,book_ebbc037fa665,opp_b0a48402d2a9,Morgan Reed,2026-04-28T22:53:07,2026-04-30T22:53:07,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_6d20b13c0a92,lead_3d53c292a9d5,book_fe9772fc4463,opp_98c677de26df,Casey Bennett,2026-02-11T15:59:01,2026-02-23T15:59:01,Won,Group Program,2500,Paid in Full,2500.0,0.0,1,0
sale_abdce58d0c51,lead_a325d428df42,book_d175e182fbc9,opp_88aa4d1dd2be,Riley Carter,2026-02-17T09:48:04,2026-02-18T09:48:04,Won,Mentorship Premium,9500,Paid in Full,9500.0,0.0,1,500
sale_764819584d59,lead_a9a67911688d,book_ed56c90c536f,opp_896d98659f10,Casey Bennett,2026-04-21T06:15:58,2026-05-04T06:15:58,Won,Mentorship Standard,4500,4 Payments,1125.0,1125.0,4,500
sale_3d4a736413f3,lead_9a8261ce0c96,book_91b6a0538ad0,opp_c0088e9746d5,Casey Bennett,2026-06-06T09:19:00,2026-06-12T09:19:00,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_843a50ad149f,lead_525af0baaaf3,book_e67728a75134,opp_9ac12ee06043,Casey Bennett,2026-01-28T08:11:28,2026-02-02T08:11:28,Won,Digital Course,197,4 Payments,49.25,49.25,4,500
sale_6e1ded29af1f,lead_cdc911fe0db7,book_1d9f65534cd8,opp_2608bac10f05,Riley Carter,2026-01-15T14:26:33,2026-01-15T14:26:33,Won,Digital Course,297,4 Payments,74.25,74.25,4,0
sale_d913aa5845ce,lead_152b759b8df0,book_c4373bddacb8,opp_f3dcfd9ee31b,Casey Bennett,2026-05-07T18:58:41,2026-05-19T18:58:41,Won,Mentorship Standard,4500,2 Payments,2250.0,2250.0,2,500
sale_f546ac5a7ba9,lead_fe52ed391369,book_4f00bb62159c,opp_44d1ec009eaf,Morgan Reed,2026-02-22T11:55:26,2026-03-06T11:55:26,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_d19377450f65,lead_a6b1d29ed5c7,book_e14733b50d6f,opp_1db5da58b9e4,Morgan Reed,2026-06-13T05:10:41,2026-06-15T05:10:41,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_4d70960e7601,lead_d8d3801cad07,book_694e23e3938c,opp_2155e09b0018,Casey Bennett,2026-03-23T07:45:23,2026-03-23T07:45:23,Won,Digital Course,297,2 Payments,148.5,148.5,2,0
sale_6567bc1f7246,lead_70fe77837087,book_105313e22555,opp_7a7cbd394075,Morgan Reed,2026-04-30T06:01:46,2026-05-12T06:01:46,Won,Group Program,2500,Paid in Full,2500.0,0.0,1,0
sale_57962b7a2f0f,lead_db609172f248,book_a3c9ff48d1d6,opp_77450140ee60,Morgan Reed,2026-04-08T09:31:03,2026-04-15T09:31:03,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_d7e441ee7d69,lead_b1a24edfb48d,book_77bcb0e64be3,opp_a08d5f2f95fc,Riley Carter,2026-05-12T09:36:55,2026-05-22T09:36:55,Won,Mentorship Standard,4750,12 Payments,395.83,395.83,12,250
sale_7f5c667d08c7,lead_1dfa7e2ef4a0,book_3296180cb381,opp_ed4746a321eb,Riley Carter,2026-04-19T10:14:58,2026-04-28T10:14:58,Won,Group Program,2500,4 Payments,625.0,625.0,4,0
sale_484ce8fac1af,lead_fd2867d8d71a,book_7a976511cea2,opp_d8b007e1cb13,Morgan Reed,2026-06-18T09:43:20,2026-06-24T09:43:20,Won,Mentorship Standard,5000,2 Payments,2500.0,2500.0,2,0
sale_e0494eb3de90,lead_a26f9ba237af,book_be919abfe89e,opp_a4cf6e7a7189,Riley Carter,2026-06-10T10:32:34,2026-06-11T10:32:34,Won,Group Program,2500,Paid in Full,2500.0,0.0,1,0
sale_fe7674816353,lead_a5df3740cc2c,book_285d524afa47,opp_5769f8cad205,Riley Carter,2026-01-27T18:08:42,2026-01-31T18:08:42,Won,Group Program,2500,4 Payments,625.0,625.0,4,0
sale_25c23aac9700,lead_e97cfc760952,book_09a4978e4cc3,opp_e148db5255f6,Morgan Reed,2026-06-03T08:32:06,2026-06-12T08:32:06,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_f6efb8caa6e1,lead_5e5ff5c26003,book_a6f046fd5ac4,opp_87f79dd59fac,Casey Bennett,2026-01-30T09:58:14,2026-02-10T09:58:14,Won,Workshop,500,2 Payments,250.0,250.0,2,250
sale_f744a8bd09ed,lead_af61f26d1d43,book_5752edb3a23b,opp_98ac0d947a5e,Morgan Reed,2026-04-29T22:10:52,2026-05-09T22:10:52,Won,Workshop,750,2 Payments,375.0,375.0,2,0
sale_1d15bd3ec2e7,lead_206522ae6ee4,book_820f544601a2,opp_43947a8e39ec,Casey Bennett,2026-03-31T04:10:42,2026-04-05T04:10:42,Won,Group Program,2500,Paid in Full,2500.0,0.0,1,0
sale_63818cbaf661,lead_d678891c7ca4,book_effcef45c896,opp_54f16ae4767a,Casey Bennett,2026-06-07T15:13:27,2026-06-07T15:13:27,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_71dae2fa209a,lead_8d132302d5c6,book_739fb466fa65,opp_f0899754868b,Casey Bennett,2026-02-01T08:44:34,2026-02-11T08:44:34,Won,Mentorship Premium,9750,Paid in Full,9750.0,0.0,1,250
sale_1b7031082363,lead_6fc360060b5d,book_09af417e863c,opp_3736e5542fec,Casey Bennett,2026-03-25T18:39:07,2026-04-06T18:39:07,Won,Mentorship Premium,9500,4 Payments,2375.0,2375.0,4,500
sale_3bc35a9175e0,lead_ca52c9f2b21b,book_6c5702be1e8e,opp_707c7bcedef3,Morgan Reed,2026-01-23T14:06:42,2026-01-30T14:06:42,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_13e6ad8afba3,lead_45801a43bebf,book_a1cbf38da940,opp_651445f0aabb,Casey Bennett,2026-05-30T19:45:34,2026-06-11T19:45:34,Won,Mentorship Premium,9750,Paid in Full,9750.0,0.0,1,250
sale_df154756c1e6,lead_3734aeaa97d8,book_1ce8febf5133,opp_9aa037087999,Casey Bennett,2026-04-26T01:13:28,2026-04-27T01:13:28,Won,Mentorship Standard,5000,12 Payments,416.67,416.67,12,0
sale_8d8b91b518cf,lead_d27ba6530fe5,book_99fcf33db8f1,opp_593b06ead916,Casey Bennett,2026-03-01T15:53:41,2026-03-13T15:53:41,Won,Mentorship Standard,4750,4 Payments,1187.5,1187.5,4,250
sale_cb68800074b3,lead_44717ff11b8a,book_6860eeb4d833,opp_ca444615c0b8,Casey Bennett,2026-06-12T15:30:03,2026-06-13T15:30:03,Won,Mentorship Premium,9000,Paid in Full,9000.0,0.0,1,1000
sale_874bef11a086,lead_829d38d1b94f,book_8f689d2bea5f,opp_71bb8ce76b0a,Morgan Reed,2026-01-24T13:47:15,2026-01-27T13:47:15,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_52de04aee214,lead_dc778c053062,book_e57d92f8d34b,opp_0517c457171a,Casey Bennett,2026-07-08T20:47:18,2026-07-22T20:47:18,Won,Workshop,750,4 Payments,187.5,187.5,4,0
sale_c54d5252258d,lead_656cf4474d8f,book_9f5204e1b8c0,opp_287e82fe83a5,Casey Bennett,2026-03-29T23:32:01,2026-04-11T23:32:01,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_0cb6b452c127,lead_e503edbd15d6,book_b19f9ea2ef12,opp_7fb0ad3ea21e,Casey Bennett,2026-05-21T18:22:35,2026-05-27T18:22:35,Won,Group Program,2500,4 Payments,625.0,625.0,4,0
sale_016134d194dd,lead_e1007eac440e,book_6e77f9886f16,opp_25465ee4b61c,Riley Carter,2026-05-01T23:31:16,2026-05-10T23:31:16,Won,Mentorship Standard,4750,12 Payments,395.83,395.83,12,250
sale_20d72f95ee3e,lead_77f4dafda23f,book_afc9c9e5ff5a,opp_a14a1f72fb62,Riley Carter,2026-02-11T15:26:38,2026-02-20T15:26:38,Won,Mentorship Premium,9750,Paid in Full,9750.0,0.0,1,250
sale_6bff9312129d,lead_00591179f1b4,book_597965c70935,opp_b340d464ed01,Riley Carter,2026-05-28T00:58:48,2026-06-05T00:58:48,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_96b5499cba34,lead_36374ec559a0,book_87517054d603,opp_a7ee73957f00,Casey Bennett,2026-02-23T01:25:38,2026-02-27T01:25:38,Won,Mentorship Standard,5000,12 Payments,416.67,416.67,12,0
sale_405281f34e2b,lead_fb97e2f80f09,book_cc7ecc622634,opp_ef9165f3c06a,Morgan Reed,2026-01-29T08:06:13,2026-01-30T08:06:13,Won,Workshop,750,Paid in Full,750.0,0.0,1,0
sale_b8284fe2b006,lead_2918ac8d10d7,book_eaabd92bda35,opp_17d406f3acbf,Morgan Reed,2026-03-05T01:52:20,2026-03-13T01:52:20,Won,Mentorship Standard,5000,2 Payments,2500.0,2500.0,2,0
sale_df07314c5e1a,lead_67b20658541c,book_791e84379661,opp_0165916a83ce,Morgan Reed,2026-02-11T22:34:38,2026-02-25T22:34:38,Won,Mentorship Standard,5000,4 Payments,1250.0,1250.0,4,0
sale_e70392a5ba52,lead_f6b7188e9666,book_9e9d4abc240e,opp_fd9eaba63981,Casey Bennett,2026-05-22T08:54:59,2026-05-24T08:54:59,Won,Workshop,250,12 Payments,20.83,20.83,12,500
sale_ca2bf9ff014f,lead_f303dccffc51,book_4fb62cd530a0,opp_20697e11ac3c,Casey Bennett,2026-04-15T00:05:38,2026-04-24T00:05:38,Won,Group Program,2250,Paid in Full,2250.0,0.0,1,250
sale_729b80607415,lead_99999980aaee,book_a5bc98f9ba1e,opp_e664daedccb7,Casey Bennett,2026-03-31T06:23:22,2026-04-03T06:23:22,Won,Mentorship Standard,4750,2 Payments,2375.0,2375.0,2,250
