activity_id,lead_id,booking_id,activity_date,representative_name,representative_role,activity_type,activity_result,notes,duration_minutes
act_ddca79a9c821,lead_03ca6f08be2a,,2026-04-30T11:13:10,Alex Morgan,Setter,Call,Connected,Labore laboriosam esse mollitia quod amet doloribus repellendus quasi.,1
act_ee91336ee53a,lead_0fefed595838,,2026-05-31T13:55:46,Jordan Lee,Setter,Email,Interested,Labore consequatur recusandae voluptatum nemo repellendus id facere veniam ex dicta.,3
act_69d7b0b23191,lead_0fefed595838,,2026-06-01T13:55:46,Jordan Lee,Setter,Email,Interested,Ipsam non eius sapiente odio perferendis praesentium doloribus iure hic nam.,12
act_0ef306f36ab3,lead_0fefed595838,,2026-06-01T23:55:46,Jordan Lee,Setter,SMS,Connected,Quis laborum suscipit quasi sunt minima rerum similique aspernatur cupiditate minima.,8
act_831ff5f4f630,lead_0fefed595838,,2026-06-03T02:55:46,Jordan Lee,Setter,SMS,Follow Up Required,Ipsam magni laboriosam libero modi ullam assumenda eos ipsam provident sequi.,9
act_584f8034fcd0,lead_5d7274877f82,,2026-06-07T18:11:34,Alex Morgan,Setter,SMS,No Answer,Nisi sint vero fugit delectus quibusdam aut et.,7
act_48cbbdc60840,lead_d1e48e561d6d,,2026-06-19T19:27:48,Alex Morgan,Setter,Email,No Answer,Asperiores maiores consequuntur eligendi eaque provident ab rem.,10
act_f215a09ab1ec,lead_d1e48e561d6d,,2026-06-16T03:27:48,Alex Morgan,Setter,WhatsApp,No Answer,Architecto nisi rem dolorum porro itaque voluptates debitis facilis minus aut nulla dolore.,7
act_e9e337e230ef,lead_2577d7af64d0,,2026-04-29T12:41:18,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Et aspernatur distinctio distinctio aperiam aspernatur sunt quaerat maiores fuga.,6
act_0077cd236192,lead_2577d7af64d0,,2026-05-04T03:41:18,Taylor Brooks,Setter,SMS,Follow Up Required,Sapiente veritatis at dolor animi aliquid possimus aperiam optio itaque necessitatibus.,3
act_e678467623f5,lead_2577d7af64d0,,2026-04-20T03:41:18,Taylor Brooks,Setter,Email,Interested,Temporibus iste impedit adipisci libero doloremque delectus.,10
act_f9d7580ccfb5,lead_2577d7af64d0,,2026-04-29T01:41:18,Taylor Brooks,Setter,WhatsApp,Interested,Provident praesentium voluptatum voluptate distinctio distinctio rerum.,12
act_88f99a021b04,lead_def7547a3845,,2026-07-15T20:54:48,Jordan Lee,Setter,Call,Follow Up Required,Repellat omnis assumenda suscipit ab optio velit natus impedit asperiores reiciendis mollitia.,1
act_ba41fe9a20f9,lead_def7547a3845,,2026-07-17T19:54:48,Jordan Lee,Setter,WhatsApp,Interested,Ullam culpa quas tempore accusamus a aspernatur minima.,1
act_9761f87512c0,lead_def7547a3845,,2026-07-08T04:54:48,Jordan Lee,Setter,WhatsApp,Follow Up Required,Earum possimus incidunt illo cupiditate officiis sequi voluptate earum exercitationem.,7
act_c9aadb30c506,lead_98bd5cb75c78,,2026-01-27T23:02:04,Alex Morgan,Setter,SMS,No Answer,Rerum repudiandae assumenda rerum quae adipisci.,1
act_ba9a0ce53ba4,lead_5747afc23e92,,2026-05-21T19:39:42,Alex Morgan,Setter,Call,Connected,Vero excepturi assumenda et doloribus architecto.,1
act_a66dbd1c6be8,lead_5747afc23e92,,2026-05-25T14:39:42,Alex Morgan,Setter,SMS,Connected,Nemo eveniet vitae tempora ullam occaecati animi.,2
act_a7a2abd6b1f3,lead_5747afc23e92,,2026-05-27T22:39:42,Alex Morgan,Setter,Email,Interested,Laboriosam nobis deleniti suscipit similique recusandae voluptatem.,4
act_a2accf332976,lead_5747afc23e92,,2026-05-14T15:39:42,Alex Morgan,Setter,Call,Interested,Voluptatum non impedit sed ducimus magnam tempora fugiat et expedita saepe cumque.,9
act_1329435d1c1c,lead_5747afc23e92,,2026-05-12T19:39:42,Alex Morgan,Setter,Call,Connected,Id ea animi nihil ea quia magnam quidem quos.,3
act_d4f2347981a1,lead_5747afc23e92,,2026-05-14T09:39:42,Alex Morgan,Setter,Email,Connected,Excepturi ducimus autem maxime libero libero recusandae error nam ratione fugit fuga.,4
act_50c6ccab38a1,lead_5747afc23e92,book_95721a7ceef1,2026-05-14T08:39:42,Casey Bennett,Closer,Consultation,Qualified,Accusantium asperiores libero quos ex tenetur aliquam cupiditate laudantium molestias sed eveniet aliquid.,37
act_f0b0f437f386,lead_5747afc23e92,book_95721a7ceef1,2026-05-26T09:39:42,Casey Bennett,Closer,Consultation,Qualified,Quasi at error voluptates quia numquam unde quisquam quibusdam.,38
act_f94cbcd674af,lead_99a1a3465e61,,2026-02-13T14:03:04,Taylor Brooks,Setter,Email,No Answer,Ratione accusantium molestiae praesentium sed aperiam reprehenderit dolorem pariatur omnis voluptatem sunt.,10
act_c204ad945787,lead_99a1a3465e61,,2026-02-17T05:03:04,Taylor Brooks,Setter,SMS,Interested,Magni soluta veniam ipsam eos ducimus illum natus magnam eos soluta.,6
act_d8e14cf3a172,lead_99a1a3465e61,,2026-03-01T09:03:04,Taylor Brooks,Setter,Call,Connected,Ipsum fugit molestiae ipsa ab inventore.,7
act_2da570957c6c,lead_ab8f2312006c,,2026-05-24T18:17:17,Taylor Brooks,Setter,Email,Connected,Temporibus dolore facere iusto perferendis dolorem.,4
act_3cf5882a4ad8,lead_ab8f2312006c,,2026-05-30T03:17:17,Taylor Brooks,Setter,SMS,Connected,Hic qui placeat est commodi itaque assumenda alias recusandae inventore aspernatur.,3
act_58e155ba4fc4,lead_ab8f2312006c,,2026-05-19T20:17:17,Taylor Brooks,Setter,Email,Connected,Expedita vero quae modi ab tempore totam mollitia debitis eligendi facilis.,3
act_5218c1fbe5a6,lead_ab8f2312006c,,2026-05-11T14:17:17,Taylor Brooks,Setter,WhatsApp,Connected,Ipsa minus incidunt laboriosam reiciendis inventore laborum porro nobis culpa repudiandae.,9
act_bf558bf50dd8,lead_ab8f2312006c,,2026-05-23T11:17:17,Taylor Brooks,Setter,Call,Interested,Quis error sint ea ab odio recusandae beatae culpa veritatis quia numquam modi.,12
act_f07c94a2bee7,lead_ab8f2312006c,book_ab7d487c89e3,2026-05-29T04:17:17,Casey Bennett,Closer,Consultation,Qualified,In repudiandae tenetur eligendi porro tempora perspiciatis aut.,32
act_3c6ed51da7d1,lead_ab8f2312006c,book_ab7d487c89e3,2026-05-30T05:17:17,Casey Bennett,Closer,Consultation,Qualified,Exercitationem nesciunt eaque enim iure soluta.,52
act_8b36670054b7,lead_e945474cf026,,2026-01-29T11:22:56,Taylor Brooks,Setter,WhatsApp,Interested,Nihil sed voluptates molestiae at perferendis cumque quidem reiciendis aperiam dolor.,10
act_f69da5929f8b,lead_72b20de03093,,2026-01-15T23:51:06,Alex Morgan,Setter,Email,Connected,Quia similique molestiae corrupti laudantium omnis recusandae.,2
act_814dc4282de4,lead_72b20de03093,,2026-01-25T09:51:06,Alex Morgan,Setter,SMS,Connected,Soluta cumque aliquid officiis quaerat itaque dolorem fuga excepturi explicabo sunt.,7
act_2eb7723179b2,lead_72b20de03093,,2026-01-25T01:51:06,Alex Morgan,Setter,SMS,No Answer,Et hic tempore quidem ipsa impedit voluptatem.,8
act_bccd06ca6a18,lead_72b20de03093,,2026-01-20T17:51:06,Alex Morgan,Setter,Email,Interested,Soluta voluptas molestiae id sit deserunt sequi amet quos doloribus similique.,3
act_a6c4e2020a8e,lead_9a72c11446fa,,2026-04-14T18:08:28,Jordan Lee,Setter,Call,Follow Up Required,Laborum unde repellat nulla debitis sit facere rem voluptatibus totam harum eaque.,10
act_0da0f7725977,lead_f0a4024c7764,,2026-03-08T10:26:57,Alex Morgan,Setter,Call,Connected,Ipsa reiciendis iure dignissimos vero officiis nam tenetur repellendus modi dicta suscipit tempora.,8
act_c952b7a7c884,lead_f0a4024c7764,,2026-03-01T17:26:57,Alex Morgan,Setter,Email,No Answer,Voluptatem odit ipsa eum eos enim.,3
act_0083029c172a,lead_f0a4024c7764,,2026-02-26T17:26:57,Alex Morgan,Setter,SMS,Follow Up Required,Sequi quidem ratione doloremque ad ab inventore dolore repellat.,2
act_8026fae0bbf2,lead_f0a4024c7764,book_3a0264e5f07d,2026-02-25T03:26:57,Morgan Reed,Closer,Follow Up,Qualified,A modi possimus veritatis libero alias eius similique placeat iusto numquam.,29
act_1e0a13e50a09,lead_f0a4024c7764,book_3a0264e5f07d,2026-03-07T10:26:57,Morgan Reed,Closer,Follow Up,Qualified,Eligendi iusto nostrum amet rerum et.,32
act_b3e286ac2315,lead_af70de6b0474,,2026-03-25T01:08:46,Taylor Brooks,Setter,Email,Connected,Reprehenderit animi iusto consectetur omnis neque cum iste ea beatae deleniti placeat quisquam.,9
act_bd95f40960bf,lead_af70de6b0474,,2026-03-19T00:08:46,Taylor Brooks,Setter,WhatsApp,Interested,Ullam recusandae tempore blanditiis numquam unde eveniet laudantium error distinctio.,2
act_cbe34146682e,lead_af70de6b0474,,2026-03-29T19:08:46,Taylor Brooks,Setter,SMS,No Answer,Magni a eligendi laborum ad cum cum eveniet a cum et delectus.,10
act_29cf448b3d97,lead_af70de6b0474,,2026-03-20T09:08:46,Taylor Brooks,Setter,WhatsApp,No Answer,Possimus vitae facere eum fuga animi deleniti culpa iusto at.,4
act_4f34e304dcd7,lead_1faee6246acf,,2026-01-26T20:28:31,Alex Morgan,Setter,Call,Connected,Mollitia labore quis quo accusamus facere dignissimos sint quia blanditiis minus.,12
act_f03eb7685222,lead_096409016474,,2026-04-03T21:41:26,Jordan Lee,Setter,Email,Connected,Assumenda ad quibusdam reprehenderit aut ad quae repudiandae laudantium.,1
act_c3fee3b20a73,lead_096409016474,,2026-04-13T04:41:26,Jordan Lee,Setter,SMS,Connected,Unde voluptate quasi fugiat ex neque totam distinctio rem culpa illum numquam quos fugit.,2
act_1e980f3c5e8b,lead_096409016474,,2026-04-12T20:41:26,Jordan Lee,Setter,Call,Interested,Tempora nesciunt ipsum magni saepe dicta necessitatibus corrupti fuga sed nobis fugiat amet.,4
act_d6ab9ea84ee1,lead_84c243dcc66a,,2026-04-03T20:08:20,Taylor Brooks,Setter,Email,No Answer,Dicta repellat ipsa corrupti repudiandae sed dignissimos dignissimos sapiente nulla consequatur.,2
act_284c679e7d69,lead_84c243dcc66a,,2026-04-12T10:08:20,Taylor Brooks,Setter,Email,Connected,Modi repellendus necessitatibus tempora harum enim deleniti error voluptas expedita.,3
act_7d564c48d690,lead_84c243dcc66a,,2026-04-03T11:08:20,Taylor Brooks,Setter,Call,No Answer,Assumenda esse qui et voluptas voluptate eius veritatis.,4
act_635f31a5a7f3,lead_a129bab29f61,,2026-07-10T06:10:58,Jordan Lee,Setter,Call,Follow Up Required,Quis fuga quidem nesciunt voluptatibus totam fugit doloremque officiis voluptatem modi nulla neque.,10
act_7ec5ab58ba86,lead_a129bab29f61,,2026-07-05T11:10:58,Jordan Lee,Setter,WhatsApp,Connected,Quos dolores perferendis aliquid dicta eligendi repellat distinctio repellat porro minima.,8
act_bbd71b35b931,lead_a129bab29f61,,2026-07-14T16:10:58,Jordan Lee,Setter,SMS,Interested,Aut necessitatibus a corporis ad quas omnis libero ea.,12
act_98e0658e86ac,lead_a129bab29f61,,2026-07-03T04:10:58,Jordan Lee,Setter,Email,Connected,Quod doloribus rerum totam ut inventore.,2
act_6b4fae3bcaac,lead_a129bab29f61,,2026-07-13T07:10:58,Jordan Lee,Setter,SMS,Interested,Iusto repellat officiis harum qui iure labore magni in.,11
act_4c89634c90b4,lead_a129bab29f61,,2026-07-12T12:10:58,Jordan Lee,Setter,Email,No Answer,Dicta magnam explicabo voluptas laborum minus sapiente quo voluptate corporis deleniti.,3
act_d24b912dfcd1,lead_a129bab29f61,book_b5e0845e5b78,2026-07-10T05:10:58,Casey Bennett,Closer,Call,Qualified,Natus adipisci non voluptatibus molestiae eos.,8
act_843eab8f7467,lead_a129bab29f61,book_b5e0845e5b78,2026-07-13T10:10:58,Casey Bennett,Closer,Follow Up,Qualified,Amet porro facere minima ullam consequuntur a magni numquam recusandae repudiandae impedit.,39
act_0f57a9dec7bf,lead_7e73b55a10b7,,2026-07-11T09:41:18,Alex Morgan,Setter,SMS,Connected,Illo minima voluptates cupiditate officiis architecto incidunt veniam.,3
act_31096ec3d751,lead_7e73b55a10b7,,2026-06-27T06:41:18,Alex Morgan,Setter,WhatsApp,Interested,Accusamus fugiat sunt id recusandae perspiciatis minima soluta cum nihil.,6
act_9185ec408ddb,lead_6b6f5ccf3fcf,,2026-03-04T16:21:27,Taylor Brooks,Setter,Call,Connected,Quas cum cupiditate perferendis fugiat magnam ad molestias asperiores.,8
act_8cff885c4f61,lead_6b6f5ccf3fcf,,2026-03-03T06:21:27,Taylor Brooks,Setter,Email,Follow Up Required,Nisi culpa eligendi pariatur non itaque non ab commodi nam minus.,1
act_df9196efd0ce,lead_6b6f5ccf3fcf,,2026-03-13T02:21:27,Taylor Brooks,Setter,Email,Interested,Nam a molestias sed suscipit ea tenetur voluptates mollitia.,9
act_b581dc6cd35f,lead_6b6f5ccf3fcf,,2026-03-13T22:21:27,Taylor Brooks,Setter,SMS,Connected,Velit reiciendis earum velit doloribus ducimus.,6
act_176b99f8c51a,lead_6b6f5ccf3fcf,,2026-02-28T07:21:27,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Molestiae ullam itaque quasi consequatur animi aut architecto voluptatum porro.,7
act_04dddbdd8188,lead_6b6f5ccf3fcf,book_00661e2a0c92,2026-03-05T21:21:27,Riley Carter,Closer,Call,Follow Up Required,Praesentium quibusdam impedit animi ullam non neque odio esse odit minus.,8
act_63e6fe027874,lead_6b6f5ccf3fcf,book_00661e2a0c92,2026-03-17T03:21:27,Riley Carter,Closer,Follow Up,Follow Up Required,Ab praesentium ipsum cupiditate voluptate quod provident sapiente ipsa consectetur quasi soluta minus.,28
act_a1ac0450a043,lead_6d1f1b621913,,2026-02-01T19:24:19,Alex Morgan,Setter,Email,Interested,Enim tempora ex veritatis laborum veniam.,10
act_f57e65b858a8,lead_6d1f1b621913,,2026-02-11T22:24:19,Alex Morgan,Setter,WhatsApp,Connected,Doloremque quasi dicta aspernatur repellendus voluptate blanditiis.,3
act_f2962f237455,lead_6d1f1b621913,,2026-02-18T15:24:19,Alex Morgan,Setter,SMS,Connected,Pariatur harum consequuntur laboriosam nobis vitae dolorum deserunt beatae voluptate culpa dolorem.,6
act_825bc2dd939c,lead_6d1f1b621913,,2026-02-11T11:24:19,Alex Morgan,Setter,Call,No Answer,Explicabo sint labore ipsa adipisci est.,3
act_c0433b54bada,lead_6d1f1b621913,,2026-02-03T16:24:19,Alex Morgan,Setter,Email,Follow Up Required,Ullam ipsam earum totam ducimus accusamus.,5
act_b04bfc686617,lead_6d1f1b621913,,2026-02-11T20:24:19,Alex Morgan,Setter,WhatsApp,Connected,Ex ipsum illo harum blanditiis nostrum laborum.,7
act_08ea3fb4509d,lead_6d1f1b621913,book_0be7bf1e9d10,2026-02-13T20:24:19,Riley Carter,Closer,Consultation,Qualified,Sapiente exercitationem commodi temporibus optio error ea natus in iste.,15
act_a8095248ee11,lead_6d1f1b621913,book_0be7bf1e9d10,2026-02-05T07:24:19,Riley Carter,Closer,Consultation,Qualified,Debitis non voluptatibus cum voluptatem in nulla aliquam pariatur atque voluptatibus ea dolorem.,32
act_4838719b0c07,lead_907b98025125,,2026-06-07T22:49:07,Taylor Brooks,Setter,Email,Connected,Ipsa unde doloremque illum modi dolor dolores consequatur.,1
act_27ca6486620b,lead_907b98025125,book_5affe776618f,2026-05-29T21:49:07,Casey Bennett,Closer,Follow Up,Qualified,Rerum pariatur non hic culpa officia ducimus officiis.,59
act_addf00a07ee2,lead_907b98025125,book_5affe776618f,2026-06-03T23:49:07,Casey Bennett,Closer,Consultation,Qualified,Delectus impedit inventore assumenda dolorem illo libero odit amet totam dicta.,40
act_6fab74a567f0,lead_32d3121b7086,,2026-01-29T17:04:40,Alex Morgan,Setter,Email,Interested,Provident rerum neque illum laboriosam occaecati a.,1
act_7cba109b641e,lead_f8ed9007075a,,2026-03-24T13:43:49,Taylor Brooks,Setter,Email,Follow Up Required,Adipisci quas corrupti incidunt similique sequi odio alias reiciendis asperiores non.,3
act_6a9565f95ef2,lead_f8ed9007075a,,2026-04-07T06:43:49,Taylor Brooks,Setter,Call,Follow Up Required,Necessitatibus similique ab nisi inventore explicabo.,5
act_0447abd56277,lead_f8ed9007075a,,2026-04-04T17:43:49,Taylor Brooks,Setter,Call,No Answer,Sit est velit vel dolorum amet labore maxime eaque id omnis sit quas.,4
act_2a9a2d765668,lead_f8ed9007075a,,2026-04-05T03:43:49,Taylor Brooks,Setter,Call,No Answer,Rem a officia debitis quae excepturi perferendis necessitatibus.,2
act_f1a15a4d5449,lead_f8ed9007075a,,2026-03-28T07:43:49,Taylor Brooks,Setter,SMS,Connected,Placeat repudiandae animi quo dicta autem voluptatibus fuga quo id suscipit.,4
act_e2c4b1afd1e5,lead_f8ed9007075a,book_94be909f0ca6,2026-03-26T18:43:49,Morgan Reed,Closer,Consultation,Qualified,Quibusdam animi minus pariatur quibusdam aperiam.,44
act_0bc0a30e735e,lead_f8ed9007075a,book_94be909f0ca6,2026-03-25T03:43:49,Morgan Reed,Closer,Call,Qualified,Repellendus at pariatur ducimus odit facere veniam.,7
act_cb85e48a4bc6,lead_895809daed78,,2026-05-01T17:31:37,Taylor Brooks,Setter,Call,Follow Up Required,Earum corporis itaque in ratione doloribus rerum officia quis impedit consequuntur.,9
act_d5d58309314f,lead_c54854f15fd5,,2026-02-23T17:55:00,Alex Morgan,Setter,WhatsApp,Follow Up Required,Perferendis totam aperiam eum deserunt libero laudantium sed aspernatur voluptatum accusamus.,1
act_baa3dfa68d1d,lead_c54854f15fd5,,2026-02-15T15:55:00,Alex Morgan,Setter,Email,Follow Up Required,Fugiat nemo explicabo quaerat voluptatem veritatis modi libero facere odit natus ullam.,7
act_a9ceeed24d5a,lead_4f4b7107e451,,2026-04-09T21:49:15,Alex Morgan,Setter,WhatsApp,No Answer,Ut deleniti ea architecto exercitationem eum vitae vitae qui saepe cum dolorem rem.,7
act_b20b16222ca1,lead_2e8d8c687330,,2026-01-19T21:25:10,Jordan Lee,Setter,WhatsApp,Interested,Id velit quas accusantium omnis occaecati voluptatum.,12
act_f7fbac9ebfd4,lead_2e8d8c687330,,2026-01-15T13:25:10,Jordan Lee,Setter,Email,No Answer,Vero itaque eius officia enim dolorem quaerat corporis praesentium exercitationem itaque inventore ullam.,10
act_eabb3f430c47,lead_cdef0273842d,,2026-06-24T10:41:46,Alex Morgan,Setter,SMS,Follow Up Required,Possimus quasi soluta amet voluptatum tempore velit consectetur odio quisquam quaerat totam.,4
